Date,Open,High,Low,Close,Adj Close,Volume
2006-10-01,20.059999,20.809999,19.870001,20.730000,11.615313,119300
2006-11-01,19.600000,20.780001,19.600000,20.600000,11.542467,71300
2006-12-01,20.650000,21.200001,20.530001,21.049999,11.794610,40200
2007-01-01,21.020000,21.059999,20.480000,20.990000,11.886012,111800
2007-02-01,20.959999,21.730000,20.959999,21.459999,12.152164,76900
2007-03-01,21.330000,21.830000,20.930000,21.330000,12.078553,103300
2007-04-01,21.400000,22.250000,21.400000,22.139999,12.660934,78400
2007-05-01,22.100000,23.340000,21.990000,22.959999,13.171554,120500
2007-06-01,22.920000,22.990000,21.930000,22.379999,12.877748,123300
2007-07-01,22.650000,23.469999,22.170000,22.230000,12.831196,166500
2007-08-01,22.110001,22.250000,20.670000,22.030001,12.755054,101800
2007-09-01,22.120001,23.000000,21.799999,22.400000,13.010716,194400
2007-10-01,22.330000,23.070000,21.830000,23.070000,13.436196,121200
2007-11-01,22.920000,22.920000,20.920000,21.770000,12.713598,97700
2007-12-01,21.750000,21.969999,21.010000,21.440001,12.556628,109400
2008-01-01,21.490000,21.500000,18.780001,20.200001,11.864678,210400
2008-02-01,20.200001,20.670000,19.780001,19.950001,11.753497,87600
2008-03-01,19.900000,20.110001,18.629999,19.969999,11.800714,109100
2008-04-01,20.250000,21.120001,20.250000,21.010000,12.458882,88000
2008-05-01,21.150000,23.440001,21.110001,21.590000,12.845789,75500
2008-06-01,21.540001,21.730000,20.379999,20.570000,12.278717,78500
2008-07-01,20.480000,20.480000,18.809999,20.320000,12.170116,73800
2008-08-01,20.379999,20.830000,19.969999,20.830000,12.519389,54200
2008-09-01,20.930000,21.680000,17.950001,18.809999,11.344585,116000
2008-10-01,18.639999,18.750000,14.500000,16.490000,9.983208,189000
2008-11-01,16.549999,17.080000,12.650000,13.820000,8.407559,251300
2008-12-01,14.230000,16.180000,12.970000,14.340000,8.771110,298900
2009-01-01,14.420000,15.150000,13.200000,13.410000,8.246714,216700
2009-02-01,13.410000,13.850000,11.340000,12.160000,7.518133,273600
2009-03-01,12.140000,13.450000,11.040000,12.710000,7.907006,366400
2009-04-01,12.770000,14.790000,12.770000,14.560000,9.110384,347600
2009-05-01,14.560000,15.980000,14.500000,15.670000,9.855419,421200
2009-06-01,15.840000,16.360001,15.220000,16.020000,10.124787,442100
2009-07-01,16.030001,16.620001,14.950000,16.620001,10.553738,977300
2009-08-01,16.780001,17.120001,16.340000,16.930000,10.799225,778500
2009-09-01,16.950001,17.879999,16.559999,17.700001,11.339781,600000
2009-10-01,17.700001,17.940001,17.080000,17.219999,11.079111,981800
2009-11-01,17.200001,18.090000,17.059999,17.850000,11.532802,1000600
2009-12-01,18.000000,18.760000,17.900000,18.750000,12.164428,1002400
2010-01-01,18.850000,18.900000,18.150000,18.190001,11.848291,1332200
2010-02-01,18.200001,18.730000,17.990000,18.650000,12.196590,1264900
2010-03-01,18.670000,19.379999,18.660000,19.240000,12.632639,1631400
2010-04-01,19.290001,19.360001,18.750000,18.850000,12.420981,1319800
2010-05-01,18.930000,18.930000,17.469999,18.150000,12.002864,1164800
2010-06-01,18.110001,18.830000,17.799999,17.969999,11.922559,1002100
2010-07-01,17.879999,18.900000,17.770000,18.700001,12.454642,861100
2010-08-01,18.889999,18.940001,18.379999,18.900000,12.634768,1556000
2010-09-01,19.000000,19.940001,18.920000,19.940001,13.380375,2194200
2010-10-01,19.930000,20.420000,19.770000,20.400000,13.738235,1912300
2010-11-01,20.469999,20.570000,19.809999,20.350000,13.751750,2087100
2010-12-01,20.440001,20.870001,20.440001,20.760000,14.077252,1834100
2011-01-01,20.860001,21.030001,20.510000,20.950001,14.254066,1990400
2011-02-01,21.000000,21.500000,20.959999,21.350000,14.575175,2110700
2011-03-01,21.240000,21.480000,20.480000,21.480000,14.712296,1714900
2011-04-01,21.480000,21.660000,21.100000,21.209999,14.564971,1050800
2011-05-01,21.219999,21.790001,21.100000,21.770000,14.988399,1010600
2011-06-01,21.799999,21.850000,20.860001,21.600000,14.909221,1296000
